orig,pred
KAM,KAM
OSH,OSH
KEH,IDP
KPT,KPT
LIT,LIT
IDM,IDP
ORE,ORE
KPC,KPC
KAM,KAM
IDM,IDM
KFC,KFC
IDP,IDM
SYM,SYM
LIT,OSH
OAR,OAR
OAR,SYM
LIT,OAR
KAM,KAM
IDC,IDC
KPC,KPC
IDV,IDV
KPT,KPT
KIM,KIM
KEH,IDP
OUT,OUT
ORE,OLB
KIM,KIM
KAM,KAM
OLB,OLB
ORE,ORE
OAS,OAS
KIM,KIM
KFC,KFC
OAS,OAS
SYM,SYM
KPT,KPT
KAM,KAM
OSH,OSH
KOT,KOT
KPC,KPC
KPC,KPC
OLB,OLB
IDC,IDC
IDV,IDC
ORE,ORE
IDV,IDV
KEH,KEH
KPT,KPT
LIT,LIT
IDP,SYM
SYM,SYM
KEH,KEH
KEN,KEN
ORE,OLB
KPT,KPT
OAS,OAS
KPT,KPT
IDM,IDM
OSH,OSH
KEH,KEH
KPT,KPT
IDP,IDC
KAM,KAM
KEH,KEH
OSH,OSH
KEN,KEN
IDM,IDM
OAS,OAS
SYM,SYM
KEH,KEH
IDV,SYM
LIT,LIT
KOT,KOT
IDC,SYM
ORE,ORE
KPC,KPC
KAM,KAM
IDP,SYM
OSH,OSH
IDV,IDC
IDV,IDV
SYM,SYM
IDV,IDC
KPT,KPT
KEN,KEN
KIM,IDC
IDP,IDP
OAR,OAR
OLB,OLB
KIM,OLB
KAM,KAM
KEN,KEN
OAS,OAS
OSH,OSH
OAR,OAR
IDM,IDM
IDV,IDV
ORE,ORE
KEH,KEH
OSH,OSH
OAS,OAS
ORE,ORE
OLB,OLB
KFC,KFC
OSH,OSH
IDC,IDC
KEH,KEH
KPC,KPC
KIM,SYM
KOT,KOT
KIM,KIM
OAR,SYM
IDP,LIT
KEH,IDP
OSH,OSH
OSH,OSH
IDP,IDP
IDC,IDC
ORE,ORE
IDM,KEH
IDP,IDC
KPC,KPC
OAR,OAR
KFC,KFC
KPT,KPT
SYM,SYM
IDV,IDV
OAR,SYM
IDP,IDP
OLB,OLB
OAR,OAR
IDC,IDV
KEN,KEN
IDM,IDC
KPT,KPT
IDC,IDC
LIT,LIT
KPC,KPC
IDC,IDC
IDV,IDV
SYM,SYM
KFC,KFC
IDP,IDP
ORE,ORE
IDC,IDC
OAS,OAS
KOT,KOT
KEN,KEN
KIM,KIM
KPT,KPT
IDP,IDV
IDC,IDC
OAR,SYM
OAS,OAS
OSH,OSH
LIT,OLB
ORE,OLB
ORE,ORE
SYM,SYM
IDC,IDC
OAR,SYM
OAS,OAS
KEN,KEN
KIM,KIM
OAS,OAS
OSH,OSH
IDC,IDC
OLB,OLB
IDV,IDC
KPC,KPC
IDC,IDC
IDC,IDC
LIT,IDV
KPC,KPC
OAR,OAR
SYM,SYM
KEH,KEH
KEN,KEN
OAS,OAS
OAR,SYM
IDM,IDC
IDM,IDC
KPT,KPT
IDV,IDV
IDP,IDC
OAS,OAS
KAM,KAM
OUT,OUT
SYM,SYM
LIT,LIT
LIT,LIT
IDP,IDC
KEH,KEH
KOT,KOT
OUT,OUT
KAM,KAM
KPT,KPT
KEN,KEN
IDP,IDV
IDC,IDC
KIM,KIM
OSH,OSH
KPC,KPC
KIM,KIM
OAS,OAS
IDM,IDP
IDC,IDC
OAS,OAS
IDV,IDC
KEH,KEH
KOT,KOT
OAR,OAR
KEH,KEH
ORE,OLB
IDM,IDP
OSH,OSH
OAS,OAS
KPC,KPC
IDV,IDC
KEN,KEN
IDV,IDC
KEN,KEN
ORE,ORE
