orig,pred
IDP,IDV
OLB,OAS
KEH,OAS
KEN,KOT
KPT,OAS
OLB,OAS
IDM,IDV
KPC,OAS
IDC,OAS
OSH,OAS
OUT,OAS
KOT,OAS
KPT,OAS
KFC,OAS
KOT,KOT
KAM,OAS
KIM,OAS
KPC,OAS
KEH,OAS
OLB,OAS
KOT,OAS
OLB,OAS
IDM,OAS
IDC,OAS
ORE,OAS
OUT,OAS
IDV,OAS
LIT,OAS
OSH,OAS
IDP,OAS
OAR,OAS
KAM,OAS
LIT,OAS
OAR,OAS
KEN,KOT
KPT,OAS
KOT,OAS
OUT,OAS
KEN,KOT
SYM,OAS
KFC,OAS
IDP,OAS
KIM,OAS
IDV,OAS
OAS,OAS
IDC,OAS
OAS,OAS
IDC,IDM
KEN,KOT
IDM,OAS
ORE,OAS
OSH,OAS
OAS,OAS
OUT,OAS
KOT,OAS
IDV,KEN
IDM,OAS
KFC,OAS
KPT,OAS
OAR,OAS
KEH,OAS
OSH,OAS
KEH,OAS
KPT,OAS
KEN,KOT
KIM,KOT
IDP,OAS
IDV,OAS
LIT,OAS
OUT,OAS
IDV,KEN
ORE,OAS
IDV,KEN
OAR,OAS
KPC,OAS
OSH,OAS
IDP,IDV
IDP,OAS
SYM,OAS
LIT,OAS
KPT,OAS
KEN,KOT
KPT,OAS
OUT,OAS
OUT,OAS
ORE,OAS
IDM,OAS
ORE,OAS
IDP,OAS
OSH,OAS
OAR,OAS
IDV,KEN
OUT,OAS
KEN,KOT
KPT,OAS
SYM,OAS
KPC,OAS
KEH,OAS
OAS,OAS
ORE,OAS
KEN,KOT
SYM,OAS
OAS,OAS
KEH,OAS
KEH,OAS
OAS,OAS
KPC,OAS
LIT,OAS
OSH,OAS
IDM,IDV
KPT,OAS
IDC,IDV
OAR,OAS
KPC,OAS
SYM,OAS
KPC,OAS
KOT,OAS
OLB,OAS
OSH,OAS
KAM,OAS
OLB,OAS
ORE,OAS
LIT,OAS
SYM,OAS
KAM,OAS
ORE,OAS
IDM,OAS
KEH,OAS
IDP,OAS
KAM,OAS
IDC,KEN
KAM,OAS
SYM,OAS
KOT,KOT
OAR,OAS
OLB,OAS
IDM,IDV
SYM,OAS
IDM,OAS
KPT,OAS
ORE,OAS
KFC,OAS
LIT,OAS
OUT,OAS
IDC,OAS
OAR,OAS
LIT,OAS
IDC,OAS
OLB,OAS
IDP,OAS
OLB,OAS
KAM,OAS
KEH,OAS
IDV,OAS
KFC,OAS
KAM,OAS
KFC,OAS
KFC,OAS
OSH,OAS
OUT,OAS
OAR,OAS
IDC,OAS
SYM,OAS
IDP,OAS
IDC,IDV
IDM,OAS
KEN,KOT
IDV,OAS
KFC,OAS
OAS,OAS
OSH,OAS
KIM,OAS
SYM,OAS
IDV,KEN
KAM,OAS
OAR,OAS
OAS,OAS
KFC,OAS
KIM,OAS
KOT,OAS
OAS,OAS
KAM,OAS
ORE,OAS
KIM,OAS
KOT,OAS
LIT,OAS
KFC,OAS
KPC,OAS
OAS,OAS
KIM,OAS
KEN,KOT
KIM,OAS
KPC,OAS
KEH,OAS
KIM,OAS
OLB,OAS
KIM,OAS
LIT,OAS
KOT,OAS
KPC,OAS
