orig,pred
KAM,KAM
OSH,OSH
KEH,KEH
KPT,KPT
LIT,OAS
IDM,OSH
ORE,ORE
KPC,KPC
KAM,KAM
IDM,IDM
KFC,KFC
IDP,IDV
SYM,SYM
LIT,IDC
OAR,OAR
OAR,OAR
LIT,LIT
KAM,KAM
IDC,IDC
KPC,KPC
IDV,IDV
KPT,KPT
KIM,KIM
KEH,KEH
OUT,OLB
ORE,ORE
KIM,KIM
KAM,KAM
OLB,OLB
ORE,ORE
OAS,OAS
KIM,KIM
KFC,KFC
OAS,OAS
SYM,SYM
KPT,KPT
KAM,KAM
OSH,OSH
KOT,KEH
KPC,KPC
KPC,KPC
OLB,OLB
IDC,IDC
IDV,IDC
ORE,ORE
IDV,KIM
KEH,KEH
KPT,KPT
LIT,LIT
IDP,IDV
SYM,SYM
KEH,KEH
KEN,KEN
ORE,ORE
KPT,KPT
OAS,OAS
KPT,KEH
IDM,IDM
OSH,OSH
KEH,KEH
KPT,KPT
IDP,KEH
KAM,KAM
KEH,KEH
OSH,OSH
KEN,KEN
IDM,IDM
OAS,OAS
SYM,SYM
KEH,KEH
IDV,OAR
LIT,LIT
KOT,KEH
IDC,OAR
ORE,ORE
KPC,KPC
KAM,KAM
IDP,IDV
OSH,OSH
IDV,OAR
IDV,KPC
SYM,SYM
IDV,KIM
KPT,KPT
KEN,KEN
KIM,KIM
IDP,KEH
OAR,OAR
OLB,OLB
KIM,KEH
KAM,KAM
KEN,KEN
OAS,OAS
OSH,OSH
OAR,OAR
IDM,IDM
IDV,IDC
ORE,ORE
KEH,KEH
OSH,OSH
OAS,OAS
ORE,KEH
OLB,OLB
KFC,KFC
OSH,OSH
IDC,IDC
KEH,KEH
KPC,KPC
KIM,KEH
KOT,KEH
KIM,KIM
OAR,OAR
IDP,LIT
KEH,KEH
OSH,OSH
OSH,OSH
IDP,KEH
IDC,IDC
ORE,ORE
IDM,OAR
IDP,IDC
KPC,KPC
OAR,OAR
KFC,KFC
KPT,KPT
SYM,SYM
IDV,IDC
OAR,OAR
IDP,KEH
OLB,OLB
OAR,OAR
IDC,IDC
KEN,KEN
IDM,IDC
KPT,KPT
IDC,IDC
LIT,LIT
KPC,KPC
IDC,IDC
IDV,IDV
SYM,SYM
KFC,KEH
IDP,KEH
ORE,ORE
IDC,IDC
OAS,OAS
KOT,KEH
KEN,KEN
KIM,KIM
KPT,KPT
IDP,IDV
IDC,IDV
OAR,OAR
OAS,OAS
OSH,OSH
LIT,IDM
ORE,ORE
ORE,ORE
SYM,SYM
IDC,IDC
OAR,OAR
OAS,OAS
KEN,KEN
KIM,KIM
OAS,OAS
OSH,OSH
IDC,IDC
OLB,OLB
IDV,IDC
KPC,KPC
IDC,IDC
IDC,IDC
LIT,LIT
KPC,KPC
OAR,OAR
SYM,SYM
KEH,KEH
KEN,KEN
OAS,OAS
OAR,OAR
IDM,IDV
IDM,IDC
KPT,KPT
IDV,OAR
IDP,IDC
OAS,OAS
KAM,KAM
OUT,OUT
SYM,SYM
LIT,LIT
LIT,LIT
IDP,IDC
KEH,KEH
KOT,KEH
OUT,OUT
KAM,KAM
KPT,KPT
KEN,KEN
IDP,IDC
IDC,IDC
KIM,KIM
OSH,OSH
KPC,KPC
KIM,KIM
OAS,OAS
IDM,OSH
IDC,IDC
OAS,OAS
IDV,OSH
KEH,KEH
KOT,KEH
OAR,OAR
KEH,KEH
ORE,ORE
IDM,OSH
OSH,OSH
OAS,OAS
KPC,KPC
IDV,IDM
KEN,KEN
IDV,IDC
KEN,KEN
ORE,ORE
