orig,pred
KAM,KAM
OSH,OSH
KEH,KEH
KPT,KPT
LIT,LIT
IDM,IDC
ORE,ORE
KPC,KPC
KAM,KAM
IDM,IDM
KFC,KFC
IDP,IDM
SYM,SYM
LIT,IDC
OAR,OAR
OAR,OAR
LIT,LIT
KAM,KAM
IDC,IDC
KPC,KPC
IDV,IDC
KPT,KPT
KIM,KIM
KEH,KEH
OUT,OUT
ORE,ORE
KIM,KIM
KAM,KAM
OLB,OLB
ORE,ORE
OAS,OAS
KIM,KIM
KFC,KFC
OAS,OAS
SYM,SYM
KPT,KPT
KAM,KAM
OSH,OSH
KOT,KOT
KPC,KPC
KPC,KPC
OLB,OLB
IDC,IDC
IDV,IDP
ORE,ORE
IDV,IDC
KEH,KEH
KPT,KPT
LIT,IDM
IDP,IDV
SYM,SYM
KEH,KEH
KEN,KEN
ORE,ORE
KPT,KPT
OAS,OAS
KPT,KPT
IDM,IDM
OSH,OSH
KEH,KEH
KPT,KPT
IDP,IDM
KAM,KAM
KEH,KEH
OSH,OSH
KEN,KEN
IDM,IDM
OAS,OAS
SYM,SYM
KEH,KEH
IDV,IDC
LIT,LIT
KOT,KOT
IDC,IDC
ORE,ORE
KPC,KPC
KAM,KAM
IDP,IDV
OSH,OSH
IDV,IDC
IDV,IDV
SYM,SYM
IDV,IDP
KPT,KPT
KEN,KEN
KIM,KIM
IDP,IDP
OAR,OAR
OLB,OLB
KIM,KIM
KAM,KAM
KEN,KEN
OAS,OAS
OSH,OSH
OAR,OAR
IDM,IDM
IDV,IDV
ORE,ORE
KEH,KEH
OSH,OSH
OAS,OAS
ORE,ORE
OLB,OLB
KFC,KFC
OSH,OSH
IDC,KIM
KEH,KEH
KPC,KPC
KIM,KIM
KOT,KOT
KIM,KIM
OAR,OAR
IDP,LIT
KEH,KEH
OSH,OSH
OSH,OSH
IDP,IDP
IDC,IDC
ORE,ORE
IDM,IDM
IDP,IDC
KPC,KPC
OAR,OAR
KFC,KFC
KPT,KPT
SYM,SYM
IDV,IDM
OAR,OAR
IDP,IDP
OLB,OLB
OAR,OAR
IDC,IDC
KEN,KEN
IDM,IDP
KPT,KPT
IDC,IDC
LIT,LIT
KPC,KPC
IDC,IDM
IDV,IDC
SYM,SYM
KFC,KFC
IDP,IDP
ORE,ORE
IDC,IDC
OAS,OAS
KOT,KOT
KEN,KEN
KIM,KIM
KPT,KPT
IDP,IDV
IDC,IDP
OAR,OAR
OAS,OAS
OSH,OSH
LIT,LIT
ORE,ORE
ORE,ORE
SYM,SYM
IDC,IDC
OAR,OAR
OAS,OAS
KEN,KEN
KIM,KIM
OAS,OAS
OSH,OSH
IDC,IDC
OLB,OLB
IDV,IDV
KPC,KPC
IDC,IDC
IDC,IDC
LIT,LIT
KPC,KPC
OAR,OAR
SYM,SYM
KEH,KEH
KEN,KEN
OAS,OAS
OAR,OAR
IDM,IDC
IDM,IDM
KPT,KPT
IDV,IDC
IDP,IDC
OAS,OAS
KAM,KAM
OUT,OUT
SYM,SYM
LIT,LIT
LIT,LIT
IDP,IDC
KEH,KEH
KOT,KOT
OUT,OUT
KAM,KAM
KPT,KPT
KEN,KEN
IDP,IDC
IDC,IDC
KIM,KIM
OSH,OSH
KPC,KPC
KIM,KIM
OAS,OAS
IDM,IDC
IDC,IDC
OAS,OAS
IDV,IDM
KEH,KEH
KOT,KOT
OAR,OAR
KEH,KEH
ORE,ORE
IDM,IDC
OSH,OSH
OAS,OAS
KPC,KPC
IDV,IDV
KEN,KEN
IDV,IDC
KEN,KEN
ORE,ORE
