orig,pred
2,1
8,9X
4,6
0,1
6,6
8,6
4,1
3,1
5,6
1,1
6,6
4,5
5,6
0,0
8,9X
1,2
4,1
5,6
0,0
2,1
9X,6
8,5
1,1
7,9X
5,6
4,6
4,6
5,6
4,1
8,6
7,6
6,6
4,6
9X,6
6,5
4,1
5,6
4,6
8,5
6,6
5,6
1,3
1,1
6,5
6,6
5,1
3,5
7,6
0,1
8,9X
9X,6
5,6
3,6
3,1
2,1
2,6
6,6
2,1
2,2
7,5
1,6
6,2
1,1
9X,6
2,2
5,1
7,6
2,1
9X,6
1,0
3,1
3,2
8,6
0,0
0,0
8,6
6,6
0,0
3,5
6,6
5,6
5,6
7,6
6,5
1,1
8,5
6,6
5,6
3,1
1,1
9X,9X
7,6
7,9X
7,6
1,1
3,1
9X,6
9X,6
0,0
0,1
7,5
2,2
4,9X
8,6
9X,9X
5,6
4,5
4,6
1,2
4,6
9X,6
4,9X
3,6
3,6
4,1
9X,1
0,0
6,6
6,6
5,5
8,6
7,6
8,6
7,6
3,2
5,5
0,1
2,1
0,0
6,6
3,3
1,1
8,6
1,0
2,1
9X,6
8,6
1,1
8,6
9X,6
1,6
2,2
2,0
1,0
1,1
7,6
8,6
3,6
3,2
9X,9X
6,6
9X,6
7,6
9X,9X
2,1
0,1
6,9X
8,5
1,1
5,6
4,6
5,6
9X,1
2,1
3,1
2,2
2,6
4,6
1,1
4,5
6,6
4,9X
0,0
9X,6
3,6
0,1
7,6
3,4
3,2
7,6
0,0
7,6
7,6
0,0
0,0
7,6
5,1
8,6
7,5
8,6
5,6
0,0
2,6
2,2
3,3
9X,6
0,0
9X,6
2,1
6,1
