orig,pred
2,1
8,9X
4,4
0,1
6,4
8,9X
4,5
3,1
5,3
1,1
6,4
4,4
5,7
0,0
8,3
1,2
4,5
5,6
0,0
2,1
9X,6
8,6
1,1
7,9X
5,4
4,4
4,6
5,6
4,6
8,6
7,6
6,7
4,1
9X,9X
6,6
4,2
5,4
4,4
8,9X
6,4
5,5
1,4
1,1
6,6
6,3
5,5
3,3
7,4
0,0
8,4
9X,4
5,9X
3,3
3,2
2,3
2,1
6,4
2,1
2,4
7,4
1,1
6,6
1,2
9X,9X
2,4
5,3
7,8
2,3
9X,8
1,4
3,1
3,2
8,7
0,0
0,0
8,5
6,9X
0,1
3,2
6,6
5,6
5,6
7,5
6,5
1,4
8,6
6,6
5,3
3,3
1,1
9X,9X
7,6
7,9X
7,9X
1,1
3,6
9X,9X
9X,1
0,0
0,4
7,9X
2,1
4,1
8,6
9X,9X
5,3
4,9X
4,4
1,4
4,9X
9X,7
4,9X
3,8
3,7
4,2
9X,4
0,0
6,6
6,7
5,6
8,6
7,4
8,4
7,4
3,2
5,4
0,0
2,1
0,0
6,6
3,4
1,1
8,4
1,1
2,1
9X,9X
8,9X
1,0
8,5
9X,9X
1,3
2,6
2,2
1,0
1,4
7,4
8,4
3,4
3,4
9X,9X
6,1
9X,6
7,4
9X,9X
2,3
0,1
6,6
8,4
1,0
5,4
4,4
5,9X
9X,2
2,1
3,4
2,1
2,2
4,6
1,1
4,1
6,5
4,6
0,0
9X,9X
3,2
0,0
7,9X
3,7
3,2
7,1
0,0
7,3
7,9X
0,0
0,0
7,4
5,9X
8,4
7,9X
8,8
5,9X
0,0
2,4
2,2
3,6
9X,8
0,0
9X,9X
2,2
6,4
