orig,pred
2,1
8,9X
4,6
0,0
6,4
8,6
4,2
3,2
5,2
1,1
6,5
4,2
5,6
0,0
8,9X
1,1
4,5
5,6
0,0
2,1
9X,9X
8,6
1,1
7,9X
5,6
4,6
4,6
5,4
4,2
8,6
7,9X
6,6
4,6
9X,9X
6,6
4,2
5,5
4,6
8,6
6,4
5,7
1,3
1,1
6,6
6,6
5,6
3,2
7,6
0,0
8,9X
9X,9X
5,4
3,6
3,2
2,2
2,4
6,3
2,2
2,2
7,6
1,4
6,6
1,1
9X,9X
2,5
5,6
7,9X
2,1
9X,9X
1,1
3,1
3,2
8,7
0,0
0,0
8,7
6,9X
0,0
3,5
6,9X
5,5
5,4
7,6
6,6
1,0
8,6
6,6
5,6
3,1
1,1
9X,9X
7,6
7,9X
7,4
1,2
3,1
9X,8
9X,1
0,0
0,1
7,5
2,1
4,4
8,6
9X,9X
5,4
4,5
4,6
1,1
4,6
9X,6
4,9X
3,6
3,4
4,1
9X,4
0,0
6,6
6,6
5,6
8,6
7,0
8,9X
7,9X
3,2
5,9X
0,0
2,1
0,0
6,8
3,6
1,1
8,9X
1,2
2,1
9X,9X
8,9X
1,1
8,9X
9X,9X
1,3
2,2
2,1
1,0
1,1
7,6
8,6
3,4
3,5
9X,9X
6,6
9X,9X
7,9X
9X,9X
2,2
0,1
6,4
8,6
1,1
5,6
4,6
5,9X
9X,2
2,1
3,2
2,2
2,4
4,2
1,1
4,4
6,5
4,9X
0,0
9X,9X
3,7
0,1
7,4
3,1
3,2
7,6
0,0
7,8
7,6
0,0
0,0
7,6
5,5
8,6
7,7
8,8
5,5
0,1
2,6
2,1
3,4
9X,8
0,0
9X,7
2,2
6,4
