orig,pred
2,1
8,1
4,1
0,1
6,1
8,6
4,1
3,1
5,1
1,1
6,1
4,1
5,6
0,0
8,5
1,1
4,1
5,1
0,0
2,1
9X,5
8,6
1,1
7,1
5,1
4,6
4,6
5,1
4,1
8,6
7,1
6,6
4,1
9X,6
6,1
4,1
5,5
4,5
8,5
6,6
5,1
1,1
1,1
6,1
6,1
5,1
3,1
7,1
0,1
8,6
9X,6
5,5
3,1
3,1
2,1
2,8
6,1
2,1
2,1
7,5
1,1
6,1
1,1
9X,1
2,1
5,1
7,6
2,1
9X,1
1,0
3,6
3,1
8,1
0,0
0,1
8,6
6,6
0,0
3,1
6,1
5,1
5,6
7,6
6,5
1,1
8,5
6,6
5,1
3,1
1,1
9X,1
7,1
7,6
7,5
1,1
3,1
9X,1
9X,1
0,0
0,6
7,6
2,1
4,6
8,5
9X,6
5,1
4,5
4,1
1,1
4,6
9X,6
4,1
3,1
3,1
4,1
9X,6
0,0
6,6
6,1
5,1
8,6
7,1
8,6
7,1
3,1
5,6
0,1
2,1
0,0
6,6
3,1
1,1
8,6
1,0
2,1
9X,1
8,6
1,0
8,1
9X,6
1,1
2,1
2,0
1,0
1,1
7,6
8,8
3,1
3,1
9X,1
6,1
9X,6
7,5
9X,5
2,1
0,1
6,6
8,1
1,1
5,1
4,6
5,6
9X,1
2,1
3,1
2,1
2,1
4,1
1,1
4,6
6,1
4,1
0,0
9X,1
3,5
0,1
7,6
3,1
3,1
7,1
0,0
7,6
7,6
0,0
0,0
7,6
5,1
8,6
7,1
8,6
5,1
0,1
2,1
2,1
3,1
9X,1
0,0
9X,1
2,1
6,1
