orig,pred
2,4
8,9X
4,4
0,2
6,4
8,9X
4,2
3,4
5,6
1,4
6,9X
4,4
5,6
0,0
8,9X
1,2
4,4
5,9X
0,0
2,0
9X,9X
8,4
1,6
7,9X
5,4
4,6
4,6
5,9X
4,4
8,6
7,9X
6,6
4,6
9X,9X
6,4
4,2
5,9X
4,9X
8,9X
6,9X
5,6
1,4
1,4
6,4
6,6
5,2
3,4
7,6
0,0
8,9X
9X,9X
5,5
3,6
3,0
2,2
2,6
6,4
2,2
2,2
7,4
1,6
6,4
1,4
9X,9X
2,4
5,6
7,9X
2,4
9X,9X
1,0
3,6
3,2
8,6
0,0
0,0
8,4
6,9X
0,0
3,6
6,4
5,4
5,6
7,4
6,4
1,4
8,4
6,6
5,4
3,4
1,0
9X,9X
7,9X
7,9X
7,4
1,4
3,9X
9X,9X
9X,6
0,0
0,6
7,6
2,4
4,6
8,4
9X,6
5,6
4,6
4,6
1,4
4,6
9X,6
4,9X
3,4
3,4
4,4
9X,6
0,0
6,9X
6,6
5,6
8,6
7,6
8,9X
7,9X
3,4
5,4
0,0
2,4
0,0
6,6
3,4
1,4
8,9X
1,0
2,4
9X,6
8,6
1,1
8,6
9X,6
1,0
2,4
2,0
1,0
1,4
7,9X
8,6
3,9X
3,4
9X,6
6,9X
9X,6
7,6
9X,4
2,4
0,0
6,9X
8,4
1,0
5,4
4,9X
5,6
9X,4
2,6
3,4
2,4
2,0
4,6
1,2
4,6
6,6
4,9X
0,0
9X,9X
3,4
0,4
7,4
3,4
3,4
7,9X
0,0
7,4
7,4
0,0
0,0
7,6
5,4
8,6
7,4
8,6
5,9X
0,0
2,6
2,4
3,4
9X,9X
0,0
9X,6
2,4
6,6
